Stationary,,,,,,,,,,,,,,,Rising,,,,,Lowering,,,
PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3
16,,,,,,,,,,,,,,,16,,,,,,,,
1,,,,,,,,,,,,,,,1,,,,,,,,
18,185,4,252,,,,,,,,,,,,18,232,5,134,,,,,
17,0,0,0,,,,,,,,,,,,17,0,0,0,,,,,
8,179,4,96,,,,,,,,,,,,8,12,6,2,,,,,
9,185,4,96,,,,,,,,,,,,9,18,6,2,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
16,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,12,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,48,6,2,,,,,
,,,,,,,,,,,,,,,9,54,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,48,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,84,6,2,,,,,
,,,,,,,,,,,,,,,9,90,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,84,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,120,6,2,,,,,
,,,,,,,,,,,,,,,9,126,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,120,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,156,6,2,,,,,
,,,,,,,,,,,,,,,9,162,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,156,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,195,6,2,,,,,
,,,,,,,,,,,,,,,9,201,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,195,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,228,6,2,,,,,
,,,,,,,,,,,,,,,9,237,6,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
